PERIODO_IDEAL ,GENERO ,ESTADO_CIVIL  ,FORMA_INGRESSO               ,NOME_ATIV_CURRIC                               ,CH_TOTAL ,NUM_FALTAS ,MEDIA_FINAL ,SITUACAO                 ,IDADE_PRIMEIRO_ANO ,DURACAO_CURSO ,CREDITO_TEORICO ,CREDITO_PRATICO ,CREDITO_CAMPO ,PERCENTUAL_FREQUENCIA_PERIODO ,PERCENTUAL_FREQUENCIA_DISCIPLINA ,MEDIA_PERIODO ,MEDIA_SEMESTRE ,FORMA_EVASAO
            1 ,M      ,Divorciado(a) ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       8.0 ,       9.0  ,Aprovado                 ,                28 ,          5.0 ,              4 ,              0 ,            0 ,                        37.3  ,                           88.89 ,         0.64 ,          0.75 ,Jubilamento
            1 ,M      ,Divorciado(a) ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                28 ,          5.0 ,              4 ,              0 ,            0 ,                        37.3  ,                            0.0  ,         0.64 ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                49 ,          8.0 ,              4 ,              0 ,            0 ,                        33.33 ,                            0.0  ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                49 ,          8.0 ,              4 ,              0 ,            0 ,                        33.33 ,                            0.0  ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Casado(a)     ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       0.0  ,Reprovado                ,                28 ,          5.0 ,              4 ,              0 ,            0 ,                        24.87 ,                          100.0  ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Casado(a)     ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      68.0 ,       0.0  ,Reprovado por Freqüência ,                28 ,          5.0 ,              4 ,              0 ,            0 ,                        24.87 ,                            5.56 ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Casado(a)     ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                28 ,          5.0 ,              4 ,              0 ,            0 ,                        24.87 ,                            0.0  ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                30 ,          7.0 ,              4 ,              0 ,            0 ,                        50.0  ,                            0.0  ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Casado(a)     ,Processo Seletivo - SiSU     ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       0.0  ,Reprovado                ,                33 ,          2.0 ,              4 ,              0 ,            0 ,                        37.15 ,                          100.0  ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      68.0 ,       0.0  ,Reprovado por Freqüência ,                19 ,          9.0 ,              4 ,              0 ,            0 ,                        35.19 ,                            5.56 ,         0.0  ,          0.0  ,Desistência
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      66.0 ,       0.0  ,Reprovado por Freqüência ,                24 ,          5.0 ,              4 ,              0 ,            0 ,                        29.86 ,                            8.33 ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Desquitado(a) ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                39 ,          5.0 ,              4 ,              0 ,            0 ,                        42.48 ,                            0.0  ,         0.0  ,          0.0  ,Desistência
