PERIODO_IDEAL,GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,SITUACAO,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,FORMA_EVASAO
6,M,Solteiro(a),Processo Seletivo - SiSU,Sociologia,30.0,32.0,0.0,Reprovado por Freqüência,33,0.0,2,0,0,59.88,11.11,6.26,5.42,Sem Evasão
6,M,Solteiro(a),Processo Seletivo - ENEM,Sociologia,30.0,32.0,0.0,Reprovado por Freqüência,29,0.0,2,0,0,22.84,11.11,1.22,0.17,Sem Evasão
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,8.0,Aprovado,18,4.0,2,0,0,97.22,83.33,8.87,8.42,Formado
6,F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,9.5,Aprovado,18,5.0,2,0,0,100.0,100.0,8.99,9.17,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,8.12,Aprovado,18,9.0,2,0,0,67.5,88.89,4.22,6.88,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,8.38,Aprovado,18,9.0,2,0,0,85.14,83.33,5.74,3.95,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,2.06,Reprovado,18,9.0,2,0,0,85.14,83.33,5.74,5.25,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,7.5,Aprovado,22,9.0,2,0,0,77.55,83.33,4.74,6.75,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,10.0,Aprovado,17,11.0,2,0,0,84.29,100.0,3.83,4.11,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,10.0,0.5,Reprovado por Freqüência,17,11.0,2,0,0,84.29,72.22,3.83,0.66,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,Reprovado,17,11.0,2,0,0,84.29,100.0,3.83,3.0,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,30.0,0.0,Reprovado por Freqüência,19,7.0,2,0,0,16.67,16.67,0.0,1.54,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,Reprovado,18,12.0,2,0,0,35.42,100.0,0.0,1.14,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,8.25,Aprovado,18,11.0,2,0,0,79.35,94.44,3.74,2.53,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,2.62,Reprovado,18,11.0,2,0,0,79.35,83.33,3.74,4.33,Jubilamento
6,F,Solteiro(a),Vestibular,Sociologia,30.0,4.0,10.0,Aprovado,18,10.0,2,0,0,96.46,88.89,5.86,6.1,Formado
6,F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,Reprovado,18,10.0,2,0,0,96.46,100.0,5.86,1.14,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,8.75,Aprovado,18,4.0,2,0,0,83.64,94.44,6.75,7.38,Formado
6,F,Solteiro(a),Vestibular,Sociologia,30.0,2.0,9.0,Aprovado,17,5.0,2,0,0,97.57,94.44,9.19,9.06,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,5.62,Aprovado,18,6.0,2,0,0,95.83,83.33,7.68,7.85,Formado
6,F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,8.25,Aprovado,18,7.0,2,0,0,87.81,100.0,6.99,8.24,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,7.0,Aprovado,18,9.0,2,0,0,83.34,88.89,5.23,7.44,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,6.12,Aprovado,18,9.0,2,0,0,87.64,83.33,6.32,7.81,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,Reprovado por Freqüência,17,11.0,2,0,0,17.41,0.0,0.53,0.0,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,28.0,0.75,Reprovado por Freqüência,17,11.0,2,0,0,17.41,22.22,0.53,0.19,Jubilamento
6,F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,Reprovado,18,9.0,2,0,0,100.0,100.0,4.25,1.96,Jubilamento
6,M,Solteiro(a),Processo Seletivo - ENEM,Sociologia,30.0,4.0,8.5,Aprovado,24,6.0,2,0,0,76.04,88.89,7.53,7.16,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,8.38,Aprovado,19,9.0,2,0,0,53.89,83.33,4.3,3.76,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,10.0,1.12,Reprovado por Freqüência,19,9.0,2,0,0,53.89,72.22,4.3,5.32,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,22.0,0.0,Reprovado por Freqüência,18,9.0,2,0,0,59.52,38.89,2.76,3.31,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,Reprovado,18,9.0,2,0,0,59.52,100.0,2.76,2.05,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,2.88,Reprovado,18,9.0,2,0,0,59.52,83.33,2.76,2.04,Formado
