GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO
M,Divorciado(a),Vestibular,Geometria Analítica para Educação Básica,60.0,8.0,9.0,28,5.0,4,0,0,37.3,88.89,0.64,0.75,Aprovado
M,Divorciado(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,28,5.0,4,0,0,37.3,0.0,0.64,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,49,8.0,4,0,0,33.33,0.0,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,49,8.0,4,0,0,33.33,0.0,0.0,0.0,Reprovado por Freqüência
M,Casado(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,0.0,28,5.0,4,0,0,24.87,100.0,0.0,0.0,Reprovado
M,Casado(a),Vestibular,Geometria Analítica para Educação Básica,60.0,68.0,0.0,28,5.0,4,0,0,24.87,5.56,0.0,0.0,Reprovado por Freqüência
M,Casado(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,28,5.0,4,0,0,24.87,0.0,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,30,7.0,4,0,0,50.0,0.0,0.0,0.0,Reprovado por Freqüência
M,Casado(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,0.0,0.0,33,2.0,4,0,0,37.15,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,68.0,0.0,19,9.0,4,0,0,35.19,5.56,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,66.0,0.0,24,5.0,4,0,0,29.86,8.33,0.0,0.0,Reprovado por Freqüência
M,Desquitado(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,39,5.0,4,0,0,42.48,0.0,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,12.0,5.8,33,0.0,4,0,0,76.85,83.33,5.69,6.4,Aprovado
M,Solteiro(a),Processo Seletivo - ENEM,Geometria Analítica para Educação Básica,60.0,0.0,7.38,29,0.0,4,0,0,66.91,100.0,1.99,5.73,Aprovado
M,Solteiro(a),Processo Seletivo - ENEM,Geometria Analítica para Educação Básica,60.0,20.0,0.0,29,0.0,4,0,0,66.91,72.22,1.99,0.0,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - ENEM,Geometria Analítica para Educação Básica,60.0,0.0,0.0,29,0.0,4,0,0,66.91,100.0,1.99,0.25,Reprovado
M,Casado(a),Processo Seletivo - ENEM,Geometria Analítica para Educação Básica,60.0,0.0,6.75,30,5.0,4,0,0,76.23,100.0,6.87,3.27,Aprovado
M,Solteiro(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,68.0,0.0,28,4.0,4,0,0,30.87,5.56,0.0,0.0,Reprovado por Freqüência
F,Solteiro(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,10.0,9.05,28,0.0,4,0,0,17.42,86.11,1.95,3.58,Aprovado
M,Solteiro(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,0.0,0.0,27,2.0,4,0,0,42.53,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Processo Seletivo - ENEM,Geometria Analítica para Educação Básica,60.0,0.0,0.0,28,3.0,4,0,0,73.89,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.25,23,10.0,4,0,0,60.61,100.0,3.27,8.48,Aprovado
