GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO)
M,Solteiro(a),Processo Seletivo - SiSU,Sociologia,30.0,32.0,0.0,33,0.0,2,0,0,59.88,11.11,6.26,5.42,Reprovado por Freqüência
M,Solteiro(a),Processo Seletivo - ENEM,Sociologia,30.0,32.0,0.0,29,0.0,2,0,0,22.84,11.11,1.22,0.17,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,8.0,18,4.0,2,0,0,97.22,83.33,8.87,8.42,Aprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,9.5,18,5.0,2,0,0,100.0,100.0,8.99,9.17,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,8.12,18,9.0,2,0,0,67.5,88.89,4.22,6.88,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,8.38,18,9.0,2,0,0,85.14,83.33,5.74,3.95,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,2.06,18,9.0,2,0,0,85.14,83.33,5.74,5.25,Reprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,7.5,22,9.0,2,0,0,77.55,83.33,4.74,6.75,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,10.0,17,11.0,2,0,0,84.29,100.0,3.83,4.11,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,10.0,0.5,17,11.0,2,0,0,84.29,72.22,3.83,0.66,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,17,11.0,2,0,0,84.29,100.0,3.83,3.0,Reprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,30.0,0.0,19,7.0,2,0,0,16.67,16.67,0.0,1.54,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,18,12.0,2,0,0,35.42,100.0,0.0,1.14,Reprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,8.25,18,11.0,2,0,0,79.35,94.44,3.74,2.53,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,2.62,18,11.0,2,0,0,79.35,83.33,3.74,4.33,Reprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,4.0,10.0,18,10.0,2,0,0,96.46,88.89,5.86,6.1,Aprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,18,10.0,2,0,0,96.46,100.0,5.86,1.14,Reprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,8.75,18,4.0,2,0,0,83.64,94.44,6.75,7.38,Aprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,2.0,9.0,17,5.0,2,0,0,97.57,94.44,9.19,9.06,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,5.62,18,6.0,2,0,0,95.83,83.33,7.68,7.85,Aprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,8.25,18,7.0,2,0,0,87.81,100.0,6.99,8.24,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,7.0,18,9.0,2,0,0,83.34,88.89,5.23,7.44,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,6.12,18,9.0,2,0,0,87.64,83.33,6.32,7.81,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,17,11.0,2,0,0,17.41,0.0,0.53,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,28.0,0.75,17,11.0,2,0,0,17.41,22.22,0.53,0.19,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,18,9.0,2,0,0,100.0,100.0,4.25,1.96,Reprovado
M,Solteiro(a),Processo Seletivo - ENEM,Sociologia,30.0,4.0,8.5,24,6.0,2,0,0,76.04,88.89,7.53,7.16,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,8.38,19,9.0,2,0,0,53.89,83.33,4.3,3.76,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,10.0,1.12,19,9.0,2,0,0,53.89,72.22,4.3,5.32,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,22.0,0.0,18,9.0,2,0,0,59.52,38.89,2.76,3.31,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,18,9.0,2,0,0,59.52,100.0,2.76,2.05,Reprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,2.88,18,9.0,2,0,0,59.52,83.33,2.76,2.04,Reprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,18,9.0,2,0,0,43.89,0.0,0.0,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,18,9.0,2,0,0,43.89,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,18,9.0,2,0,0,52.78,100.0,0.0,0.04,Reprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,22.0,0.0,20,7.0,2,0,0,57.81,38.89,2.34,0.0,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,20,7.0,2,0,0,57.81,0.0,2.34,0.13,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Sociologia,30.0,8.0,1.75,20,7.0,2,0,0,57.81,77.78,2.34,3.72,Reprovado por Freqüência
M,Não informado,Vestibular,Sociologia,30.0,30.0,0.5,18,6.0,2,0,0,16.67,16.67,0.5,0.25,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,18,8.0,2,0,0,44.77,0.0,0.63,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,16.0,0.0,18,8.0,2,0,0,44.77,55.56,0.63,1.37,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,0.0,0.0,18,8.0,2,0,0,44.77,100.0,0.63,2.19,Reprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,14.0,2.0,18,8.0,2,0,0,44.77,61.11,0.63,4.4,Reprovado por Freqüência
