PERIODO_IDEAL,GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,SITUACAO,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,FORMA_EVASAO
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,72.0,0.0,Reprovado por Freqüência,49,8.0,22.22,0.0,0.0,0.0,Jubilamento
7,M,Solteiro(a),Processo Seletivo - ENEM,Sistemas Distribuídos,60.0,4.0,0.0,Reprovado,29,0.0,58.79,94.44,3.04,0.0,Sem Evasão
7,M,Solteiro(a),Processo Seletivo - ENEM,Sistemas Distribuídos,60.0,46.0,0.88,Reprovado por Freqüência,29,0.0,58.79,36.11,3.04,0.8,Sem Evasão
7,M,Casado(a),Processo Seletivo - ENEM,Sistemas Distribuídos,60.0,12.0,8.55,Aprovado,30,5.0,71.3,83.33,7.98,7.85,Formado
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,3.0,8.25,Aprovado,18,9.0,82.47,95.83,5.97,7.58,Formado
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,1.0,8.0,Aprovado,22,9.0,57.64,98.61,3.0,6.5,Jubilamento
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,0.0,1.5,Reprovado,17,11.0,54.4,100.0,2.02,0.83,Jubilamento
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,72.0,0.0,Reprovado por Freqüência,17,11.0,54.4,0.0,2.02,0.0,Jubilamento
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,2.0,8.46,Aprovado,18,6.0,94.44,97.22,8.07,7.85,Formado
7,F,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,15.0,6.25,Aprovado,18,7.0,90.59,79.17,7.06,5.58,Formado
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,5.0,6.03,Aprovado,18,9.0,67.55,93.06,3.59,4.65,Formado
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,15.0,4.38,Reprovado,18,9.0,92.28,79.17,7.59,6.87,Formado
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,2.0,8.6,Aprovado,18,9.0,92.28,97.22,7.59,8.03,Formado
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,2.0,8.03,Aprovado,18,4.0,96.53,97.22,8.39,8.42,Formado
7,F,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,0.0,9.2,Aprovado,18,5.0,99.31,100.0,9.21,9.17,Formado
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,4.0,8.0,Aprovado,19,4.0,94.1,94.44,8.06,7.3,Formado
7,M,Solteiro(a),Processo Seletivo - ENEM,Sistemas Distribuídos,60.0,24.0,4.28,Reprovado por Freqüência,24,6.0,75.69,66.67,6.04,5.96,Formado
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,8.0,7.12,Aprovado,18,9.0,76.28,88.89,5.11,5.18,Formado
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,8.0,5.02,Aprovado,18,11.0,69.93,88.89,4.02,4.33,Jubilamento
7,F,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,0.0,6.5,Aprovado,18,10.0,93.75,100.0,8.12,6.29,Formado
7,M,Solteiro(a),Vestibular,Sistemas Distribuídos,60.0,0.0,8.0,Aprovado,18,4.0,82.99,100.0,7.07,7.38,Formado
